	Värdeutveckling i SEK (%)							Fondavgift (%)			Sharpe-	Noterings-		Svensk/				
Navigera Tillväxt	-4	-4	2	-17	14			0,74	2,12	14,5	0,3	SEK	2011	Svensk	374835	Navigera AB	Global	
NN (L) Renta Fund Emerging Markets Debt Local Currency	4	4	1	-6	-2			0,42	1,34	6,2	-0,1	EUR	2011	Utländsk	140434	NN Asset Management BV	Övriga utländska	
NN (L) Renta Fund Euromix Bond	3	3	0	0	16			0,36	0,85	4,7	1	EUR	2011	Utländsk	288001	NN Asset Management BV	Europa och Euroland	
NN (L) Renta Fund Emerging Markets Debt Hard Currency	5	5	4	2	16			0,42	1,55	8,2	0,6	EUR	2011	Utländsk	323832	NN Asset Management BV	Övriga utländska	
NN (L) Invest Europe Opportunities	-7	-7	-5	-13	28	24	4,4	0,74	1,84	12,9	0,7	EUR	2010	Utländsk	773861	NN Asset Management BV	Europa	
NN (L) Invest Alternative Beta	-4	-4	-4	-10	27	30	5,4	0,56	1,32	9,3	0,9	EUR	2010	Utländsk	809699	NN Asset Management BV	Utländska aktier och räntor	
Alfred Berg Fastighetsfond Norden	-1	-1	14	7	85			0,65	1,77	16,2	1,3	SEK	2011	Svensk	320176	Alfred Berg Fonder AB	Övriga branscher	
Fondita 2000+ Placeringsfond	-4	-4	5	-2	51	68	10,9	0,8	2	12,5	1,1	EUR	2001	Utländsk	202002	Fondbolaget Fondita Ab	Övriga branscher	
Fondita European Small Cap Placeringsfond	-4	-4	2	-5	52	59	9,7	0,8	2	12,5	1,2	EUR	2009	Utländsk	356063	Fondbolaget Fondita Ab	Europa/Euroland småbolag	
Fondita European Top Picks B	-6	-6	0	-10	23			0,8	2	12,6	0,6	EUR	2011	Utländsk	724633	Fondbolaget Fondita Ab	Europa	
Granit Kina 130/30	-5	-5	-3	-32	4	-16	-3,4	0,62	1,5	24,6	0,2	SEK	2011	Svensk	620807	Granit Fonder AB	Kina	
IKC 0-100	-3	-3	-1	-9	13	14	2,6	0,55	2,73	9,3	0,5	SEK	2015	Svensk	371708	IKC Fonder AB	Utländska aktier och räntor	
IKC Filippinerna	5	5	2	-20				0,78	2,42			SEK	2014	Svensk	946228	IKC Fonder AB	Övriga länder	
JPMorgan Funds - Global Natural Resources Fund D (acc)	10	10	6	-26	-39	-64	-18,7	0,79	2,8	23,6	-0,6	EUR	2008	Utländsk	938498	JPMorgan Asset Management (Europe) S.à.r.l.	Övriga branscher	
JPMorgan Funds - India Funds D (acc)	-4	-4	-7	-17	45	25	4,6	0,79	2,6	22,8	0,6	USD	2008	Utländsk	333633	JPMorgan Asset Management (Europe) S.à.r.l.	Övriga länder	
Alpcot Balanserad 	-3	-3	-2	-11				0,62	2,49			EUR	2015	Utländsk	301879	Kredietrust Luxembourg S.A	Utländska aktier och räntor	
Allianz US High Yield	-2	-2	-6	-15	18	41	7,1	0,42	1,4	9,3	0,6	USD	2013	Utländsk	467092	Allianz Global Investors GmbH	Övriga utländska	
JPMorgan Funds - Emerging Markets Equity Fund A (dist)	4	4	4	-18	5	3	0,6	0,65	1,8	16,1	0,2	USD	2000	Utländsk	305243	JPMorgan Asset Management (Europe) S.à.r.l.	Nya marknader	
JPMorgan Funds - Global Dynamic Fund D (acc)	-7	-7	-3	-14	39	46	7,9	0,79	2,8	12,9	0,9	EUR	2008	Utländsk	405290	JPMorgan Asset Management (Europe) S.à.r.l.	Global	
NN (L) Invest First Class Protection	0	0	-3	-6	17			0,45	1	5,6	0,9	EUR	2011	Utländsk	857037	NN Asset Management BV	Utländska aktier och räntor	
PineBridge Europe Small Cap Equity Fund	-7	-7	0	0	63	65	10,6	0,55	1,3	13,3	1,3	EUR	2011	Utländsk	891036	PineBridge Investments Ireland Limited	Europa/Euroland småbolag	
Pictet Global Megatrend Selection	-5	-5	0	-14	44	58	9,6	0,8	2,9	13,2	1	USD	2009	Utländsk	690693	Pictet Funds (Europe) S.A.	Global	
Pictet Timber	-4	-4	2	-16	15	32	5,7	0,8	2,68	16,1	0,3	USD	2010	Utländsk	755033	Pictet Funds (Europe) S.A.	Övriga branscher	Fonden tar miljö och/eller etisk hänsyn
Pictet Russian Equities	14	14	12	-4	-15	-39	-9,4	0,8	2,81	27,5	-0,1	USD	2009	Utländsk	925099	Pictet Funds (Europe) S.A.	Ryssland	
SEB Rysslandfond	10	10	10	-2	-16	-42	-10,3	0,5	2,61	26,4	-0,1	SEK	2011	Utländsk	473231	SEB Asset Management S.A.	Ryssland	
SEB Asset Selection Lux Ack	3	3	-3	-7	18	26	4,7	0,37	3,85	9,1	0,6	SEK	2011	Utländsk	639633	SEB Asset Management S.A.	Utländska aktier och räntor	
Monyx Strategi Balanserad	-3	-3	-2	-8	16			0,37	1,71	6	0,8	SEK	2011	Utländsk	119776	SEB Fund Services S.A.	Utländska aktier och räntor	
Monyx Strategi Trygghet	-1	-1	-1	-4	10			0,35	1,35	3,3	1	SEK	2011	Utländsk	155606	SEB Fund Services S.A.	Utländska aktier och räntor	
Monyx Aktiv Ränta	-1	-1	-1	-2	4			0,25	1,03	1,9	0,5	SEK	2011	Utländsk	191437	SEB Fund Services S.A.	Övriga utländska	
Falcon Aggressive Fund	-2	-2	-2	-20				0,54	2,66			SEK	2014	Utländsk	524769	Falcon Funds SICAV Plc	Utländska aktier och räntor	
Falcon Balanced Fund	-3	-3	-4	-17				0,54	1,72			SEK	2014	Utländsk	600676	Falcon Funds SICAV Plc	Utländska aktier och räntor	
Falcon Cautious Fund	-2	-2	-2	-12				0,54	2,03			SEK	2014	Utländsk	636506	Falcon Funds SICAV Plc	Utländska aktier och räntor	
Taaleri Sicav - Taaleri Allocation 50	-2	-2	0	-8	31			0,51	1,18	8,9	1	EUR	2015	Utländsk	683847	Swedbank Management Company S.A	Utländska aktier och räntor	
Ålandsbanken Premium 70	-2	-2	1	-7	29	9	1,8	0,59	1,77	10,6	0,8	EUR	2010	Utländsk	131342	Ålandsbanken Fondbolag Ab	Utländska aktier och räntor	
Folksam LO Världen	-7	-7	0	-10	44	64	10,4	0,18	0,43	12,4	1	SEK	2000	Svensk	941096	Swedbank Robur Fonder AB	Global	Fonden tar miljö och/eller etisk hänsyn
Aberdeen Global - Select High Yield Bond Fund	-1	-1	-1	-1	33	44	7,6	0,36	1,58	6,1	1,6	GBP	2006	Utländsk	793406	Aberdeen International Fund Managers Ltd	Övriga utländska	
SKAGEN Tellus	1	1	-1	-10	19	32	5,7	0,27	0,8	7,2	0,8	NOK	2006	Utländsk	252296	SKAGEN Fonder	Övriga utländska	
Allra Strategi Försiktig	-3	-3	-2	-6	7			0,36	1,53	4,8	0,4	SEK	2011	Utländsk	322008	Allra Asset Management S.A.	Utländska aktier och räntor	Fonden tar miljö och/eller etisk hänsyn
Allra Strategi Lagom	-6	-6	-4	-14	21			0,48	2,29	11,6	0,6	SEK	2011	Utländsk	286179	Allra Asset Management S.A.	Global	Fonden tar miljö och/eller etisk hänsyn
Allra Strategi Ränta	-1	-1	-1	-3				0,36	1,54			SEK	2013	Utländsk	895227	Allra Asset Management S.A.	Utländska aktier och räntor	Fonden tar miljö och/eller etisk hänsyn
Cicero Focus	-2	-2	1	-5	49	69	11,1	0,5	1,21	12,4	1,1	SEK	2015	Svensk	972901	Cicero Fonder AB	Sverige	
Aktiva Fonder SICAV Monitor	0	0	-3	-5	-15	-18	-3,8	0,62	2,22	7,7	-0,7	SEK	2010	Utländsk	237008	Kredietrust Luxembourg S.A	Utländska aktier och räntor	
Cliens Mixfond	-4	-4	3	-6	33	43	7,4	0,62	1,87	9,4	1	SEK	2015	Svensk	920074	Cliens Kapitalförvaltning AB	Svenska aktier och räntor	Fonden tar miljö och/eller etisk hänsyn
Swedbank Robur Aktiefond Pension	-6	-6	0	-14	34	47	8	0,18	0,45	12,9	0,8	SEK	2000	Svensk	785022	Swedbank Robur Fonder AB	Svenska och utländska aktier	
SEB Dynamisk Aktiefond	-2	-2	1	-13	60	75	11,9	0,36	1,4	13,5	1,2	SEK	2005	Svensk	520759	SEB Investment Management AB	Global	
NN (L) Invest Asia ex Japan	-1	-1	3	-15	16	12	2,3	0,76	1,9	14,7	0,4	USD	2000	Utländsk	992099	NN Asset Management BV	Asien och Fjärran östern	
Carnegie Fund - Nordic Markets Sub-Fund	-3	-3	4	-4	59	57	9,4	0,39	1,62	12,6	1,3	SEK	2000	Utländsk	348987	Carnegie Fund Management Company S.A.	Norden	
Carnegie Fund - Swedish Large Cap Sub-fund	-3	-3	4	-2	47	58	9,6	0,39	1,6	12,8	1,1	SEK	2010	Utländsk	792697	Carnegie Fund Management Company S.A.	Sverige	
Carnegie Fund - Swedish Small Cap Sub-fund	-3	-3	13	18	111	118	16,8	0,39	1,6	14,8	1,8	SEK	2010	Utländsk	721035	Carnegie Fund Management Company S.A.	Sverige småbolag	
Carnegie Fund - Svensk Obligationsfond	0	0	0	-1	5	16	3,1	0,17	0,5	1	1,4	SEK	2010	Utländsk	756866	Carnegie Fund Management Company S.A.	Sverige lång	
Skandia Europa Exponering	-8	-8	-4	-15	32	30	5,3	0,21	0,41	13,4	0,7	SEK	2000	Svensk	654459	Skandia Fonder AB	Europa/Euroland Index	Fonden tar miljö och/eller etisk hänsyn
Lannebo Sverige	-1	-1	4	-5	54	59	9,7	0,53	1,79	14,1	1,1	SEK	2000	Svensk	806869	Lannebo Fonder AB	Sverige	
Lannebo Vision	-4	-4	8	12	117	148	19,9	0,49	1,6	12,9	2,1	SEK	2000	Svensk	771030	Lannebo Fonder AB	Övriga branscher	
Lannebo Småbolag	-1	-1	13	12	100	110	16	0,49	1,62	12,5	1,9	SEK	2000	Svensk	842690	Lannebo Fonder AB	Sverige småbolag	
Lannebo Sverige Plus	-2	-2	4	-6	64	69	11,1	0,56	1,93	14,3	1,2	SEK	2008	Svensk	490292	Lannebo Fonder AB	Sverige	
Nordea Globala Tillväxtmarknader	2	2	4	-16	8	4	0,7	0,38	2	16,3	0,2	SEK	2008	Utländsk	995571	Nordea Funds Ab	Nya marknader	Fonden tar miljö och/eller etisk hänsyn
Nordea Indienfond	-7	-7	-6	-17	56	17	3,3	0,37	1,97	20,4	0,8	SEK	2007	Utländsk	469692	Nordea Funds Ab	Övriga länder	Fonden tar miljö och/eller etisk hänsyn
Nordea Generationsfond Senior	1	1	2	-1	13	28	5,1	0,2	0,54	3	1,4	SEK	2000	Svensk	502633	Nordea Funds Ab	Pension om mindre än 10 år	Fonden tar miljö och/eller etisk hänsyn
Nordea Far East Fund	-4	-4	1	-19	24			0,33	1,61	16,8	0,5	SEK	2013	Utländsk	494427	Nordea Funds Ab	Asien och Fjärran östern	Fonden tar miljö och/eller etisk hänsyn
Nordea Kinafond	-6	-6	0	-18	35	28	5	0,36	1,86	17,5	0,6	SEK	2007	Utländsk	653097	Nordea Funds Ab	Kina	Fonden tar miljö och/eller etisk hänsyn
Nordea North America Fund	-6	-6	0	-10	65	99	14,7	0,26	1	13,8	1,3	SEK	2013	Utländsk	182287	Nordea Funds Ab	Nordamerika och USA	Fonden tar miljö och/eller etisk hänsyn
Granit Basfonden	-1	-1	-4	-14	0			0,62	2,5	7,6	0	SEK	2012	Svensk	156315	Granit Fonder AB	Utländska aktier och räntor	
Solidar Flex 70 Plus	-5	-5	-1	-11	22			0,38	1,91	9,7	0,7	SEK	2012	Svensk	464081	Solidar Fonder AB	Utländska aktier och räntor	
Carnegie Fund - Worldwide Stable Equities Sub-Fund	-5	-5	0	-7	35	32	5,7	0,39	1,6	12,8	0,8	SEK	2000	Utländsk	241497	Carnegie Fund Management Company S.A.	Global	
Carnegie Fund - WorldWide Asia Sub-fund	-3	-3	6	-14	39			0,45	1,98	16,5	0,7	SEK	2013	Utländsk	379024	Carnegie Fund Management Company S.A.	Asien och Fjärran östern	
Länsförsäkringar Global Strategisk Ränta	-1	-1	-1	-3	-2	3	0,7	0,24	1,11	1,4	-0,8	SEK	2013	Svensk	212621	Länsförsäkringar Fondförvaltning AB (publ)	Övriga utländska	
DNB Nordic Technology	1	1	14	6	125	120	17,1	0,57	1,51	15,1	1,9	NOK	2002	Utländsk	191676	DNB Asset Management AS	IT och kommunikation	
Naventi Offensiv	-5	-5	1	-2	51			0,78	2,27	11,9	1,2	SEK	2012	Svensk	482919	Naventi Fonder AB	Global	
Nordea Räntefond	0	0	0	0	2	6	1,3	0,11	0,2	0,3	1,6	SEK	2001	Svensk	613133	Nordea Funds Ab	Sverige kort	Fonden tar miljö och/eller etisk hänsyn
Nordea Småbolagsfond Norden	-2	-2	10	4	61	68	11	0,33	1,6	12,2	1,3	SEK	2007	Utländsk	286294	Nordea Funds Ab	Norden	Fonden tar miljö och/eller etisk hänsyn
Nordea Stratega Ränta	2	2	2	0	10	26	4,8	0,17	0,7	2,6	1,1	SEK	2013	Utländsk	840090	Nordea Funds Ab	Övriga utländska	Fonden tar miljö och/eller etisk hänsyn
Nordea Realräntefond	4	4	3	-2	8	18	3,4	0,17	0,65	5,1	0,5	SEK	2008	Utländsk	131409	Nordea Funds Ab	Sverige realränta	Fonden tar miljö och/eller etisk hänsyn
Nordea Nya Tillväxtmarknader	4	4	3	-13	1	-4	-0,9	0,36	1,86	18,1	0,1	SEK	2008	Utländsk	167239	Nordea Funds Ab	Nya marknader	Fonden tar miljö och/eller etisk hänsyn
Nordea Nordenfond	-6	-6	0	-6	33	33	5,9	0,31	1,47	12,8	0,8	SEK	2008	Svensk	552869	Nordea Funds Ab	Norden	Fonden tar miljö och/eller etisk hänsyn
Nordea Obligationsfond	3	3	1	-1	11	26	4,7	0,17	0,65	4,2	0,8	SEK	2001	Svensk	648964	Nordea Funds Ab	Sverige lång	Fonden tar miljö och/eller etisk hänsyn
Nordea Rysslandsfond	9	9	6	-4	-16	-39	-9,4	0,36	1,86	25,7	-0,1	SEK	2007	Utländsk	433862	Nordea Funds Ab	Ryssland	Fonden tar miljö och/eller etisk hänsyn
SEB Generationsfond 60-tal	-3	-3	1	-9	47	73	11,6	0,21	0,5	10,5	1,3	SEK	2000	Svensk	901017	SEB Investment Management AB	Pension om mindre än 20 år	
Allianz Europe Small Cap Equity	-9	-9	0	-1	58	67	10,8	0,83	2,09	13,8	1,2	EUR	2013	Utländsk	538751	Allianz Global Investors GmbH	Europa	
Allianz Europe Equity Growth	-6	-6	1	-8	45	77	12,1	0,75	1,85	13,5	1	EUR	2013	Utländsk	682070	Allianz Global Investors GmbH	Europa	
Allianz Global Metals and Mining	20	20	12	-29	-42	-66	-19,5	0,73	1,82	29,2	-0,5	EUR	2013	Utländsk	502922	Allianz Global Investors GmbH	Övriga branscher	
Allianz Little Dragons	-7	-7	-6	-20	23	23	4,3	0,84	2,13	15,9	0,5	EUR	2013	Utländsk	431262	Allianz Global Investors GmbH	Asien och Fjärran östern	
Allianz Thailand Equity	6	6	4	-17	3	86	13,2	0,89	2,3	18,9	0,1	EUR	2013	Utländsk	395434	Allianz Global Investors GmbH	Övriga länder	
Allianz US Equity Fund	-3	-3	5	-7	58			0,75	1,85	13,6	1,2	USD	2013	Utländsk	359604	Allianz Global Investors GmbH	Nordamerika och USA	
AMF Aktiefond Asien Stilla Havet	-6	-6	3	-14	25	36	6,3	0,21	0,63	13,4	0,6	SEK	2008	Svensk	823096	AMF Fonder AB	Asien och Fjärran östern	
AMF Aktiefond Europa	-7	-7	-3	-13	40	44	7,5	0,19	0,44	13,1	0,9	SEK	2000	Svensk	538462	AMF Fonder AB	Europa	
AMF Aktiefond Global	-4	-4	3	-9	50	69	11,1	0,19	0,44	12,1	1,2	SEK	2001	Svensk	908277	AMF Fonder AB	Global	
AMF Aktiefond Nordamerika	-4	-4	5	-4	71	111	16,1	0,19	0,44	13,1	1,4	SEK	2007	Svensk	520692	AMF Fonder AB	Nordamerika och USA	
Skandia Smart Balanserad	-2	-2	1	-8	20	26	4,8	0,44	1,4	7	0,8	SEK	2000	Svensk	546960	Skandia Fonder AB	Svenska och utländska aktier samt svenska räntor	Fonden tar miljö och/eller etisk hänsyn
Skandia Smart Försiktig	0	0	1	-2	11	19	3,5	0,33	0,92	2,9	1,1	SEK	2000	Svensk	403642	Skandia Fonder AB	Svenska och utländska aktier samt svenska räntor	Fonden tar miljö och/eller etisk hänsyn
ESPA Bond Emerging Markets	5	5	3	0	16	29	5,2	0,42	1,07	7,3	0,7	EUR	2013	Utländsk	420935	Erste Sparinvest Kapitalanlagegesellschaft m.b.H	Övriga utländska	
Länsförsäkringar Kort Räntefond	0	0	0	0	1	5	1	0,12	0,2	0,2	1,1	SEK	2000	Svensk	420646	Länsförsäkringar Fondförvaltning AB (publ)	Sverige kort	Fonden tar miljö och/eller etisk hänsyn
East Capital (Lux) Frontier Markets Fund A SEK	-4	-4	-6	-16				0,77	2,76			SEK	2015	Utländsk	870907	East Capital Asset Management S.A.	Nya marknader	
Aktie-Ansvar Europa	-8	-8	-7	-18	19	31	5,5	0,61	1,45	11	0,6	SEK	2000	Svensk	273078	Aktie-Ansvar AB	Europa	Fonden tar miljö och/eller etisk hänsyn
Aktie-Ansvar Sverige	-2	-2	4	-9	46	58	9,6	0,59	1,42	13,5	1	SEK	2000	Svensk	344739	Aktie-Ansvar AB	Sverige	Fonden tar miljö och/eller etisk hänsyn
BL - Equities America	-2	-2	6	-4	65	104	15,3	0,48	1,23	13,2	1,3	USD	2000	Utländsk	300996	Banque de Luxembourg S.A.	Nordamerika och USA	
BL - Equities Europe	-4	-4	0	-11	38	63	10,3	0,47	1,2	12,5	0,9	EUR	2000	Utländsk	336826	Banque de Luxembourg S.A.	Europa	
Swedbank Robur Transfer 50	0	0	0	-2	11	24	4,4	0,19	0,53	3	1,1	SEK	2004	Svensk	855387	Swedbank Robur Fonder AB	Pension om mindre än 10 år	
Swedbank Robur Transfer 60	-1	-1	0	-4	14	27	5	0,19	0,53	4,2	1	SEK	2004	Svensk	819557	Swedbank Robur Fonder AB	Pension om mindre än 20 år	
Swedbank Robur Transfer 80	-3	-3	-1	-9	29	43	7,5	0,19	0,55	9,2	0,9	SEK	2004	Svensk	747899	Swedbank Robur Fonder AB	Pension om mer än 20 år	
Swedbank Robur Transfer 90	-4	-4	-1	-10	31			0,19	0,55	9,9	0,9	SEK	2012	Svensk	320762	Swedbank Robur Fonder AB	Pension om mer än 20 år	
Länsförsäkringar Pension 2010	-2	-2	2	-5	25	41	7,1	0,2	0,5	6,7	1,1	SEK	2000	Svensk	850602	Länsförsäkringar Fondförvaltning AB (publ)	Pension om mindre än 10 år	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Pension 2015	-2	-2	2	-5	27	41	7,2	0,2	0,5	6,8	1,2	SEK	2000	Svensk	814772	Länsförsäkringar Fondförvaltning AB (publ)	Pension om mindre än 10 år	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Pension 2025	-4	-4	2	-11	39	55	9,1	0,2	0,45	12,3	0,9	SEK	2000	Svensk	743112	Länsförsäkringar Fondförvaltning AB (publ)	Pension om mindre än 20 år	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Pension 2030	-5	-5	2	-11	38	54	9,1	0,2	0,46	12,4	0,9	SEK	2000	Svensk	707281	Länsförsäkringar Fondförvaltning AB (publ)	Pension om mindre än 20 år	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Pension 2035	-5	-5	2	-11	38	54	9	0,2	0,46	12,3	0,9	SEK	2000	Svensk	671453	Länsförsäkringar Fondförvaltning AB (publ)	Pension om mer än 20 år	Fonden tar miljö och/eller etisk hänsyn
Cicero Avkastningsfond	0	0	-1	-1	5	16	3	0,24	0,51	1	1,7	SEK	2003	Svensk	384750	Cicero Fonder AB	Sverige lång	Fonden tar miljö och/eller etisk hänsyn
IKC Avkastningsfond	0	0	1	1				0,25	0,61			SEK	2014	Svensk	453100	IKC Fonder AB	Övriga utländska	
Öhman Etisk Index Europa	-8	-8	-4	-15	33	36	6,3	0,27	0,69	13,6	0,7	SEK	2000	Svensk	570630	E. Öhman J:or Fonder AB	Europa/Euroland Index	Fonden tar miljö och/eller etisk hänsyn
BL - Global Equities	-2	-2	2	-7	40	65	10,5	0,49	1,25	10	1,1	EUR	2004	Utländsk	320358	Banque de Luxembourg S.A.	Global	
BL Fund Selection - Equities	-5	-5	0	-11	35	42	7,3	0,79	3,26	11,8	0,9	EUR	2008	Utländsk	216408	Banque de Luxembourg S.A.	Global	
Baring Asia Growth Fund	-2	-2	6	-13	34	31	5,6	0,68	1,97	15,1	0,7	USD	2000	Utländsk	477729	Baring International Fund Managers (Ireland) Ltd	Asien och Fjärran östern	
Baring Europa Fund	-9	-9	-5	-11	42	39	6,8	0,65	1,88	13,4	0,9	USD	2000	Utländsk	155259	Baring International Fund Managers (Ireland) Ltd	Europa	
Baring Global Resources Fund	0	0	4	-20	-5	-33	-7,7	0,7	2,03	16,7	0	USD	2000	Utländsk	262741	Baring International Fund Managers (Ireland) Ltd	Övriga branscher	
Baring Latin America Fund	13	13	9	-17	-23	-29	-6,7	0,71	2,07	19,5	-0,4	USD	2006	Utländsk	235291	Baring International Fund Managers (Ireland) Ltd	Latinamerika	
Swedbank Robur Access Asien	-2	-2	1					0,16	0,2			SEK	2015	Svensk	978981	Swedbank Robur Fonder AB	Asien och Fjärran östern	
Swedbank Robur Access Europa	-7	-7	-4					0,16	0,2			SEK	2015	Svensk	755504	Swedbank Robur Fonder AB	Europa	
Swedbank Robur Access Global	-5	-5						0,16	0,2			SEK	2015	Svensk	114819	Swedbank Robur Fonder AB	Global	
Swedbank Robur Access Japan	-10	-10						0,16	0,2			SEK	2015	Svensk	943159	Swedbank Robur Fonder AB	Japan	
Swedbank Robur Access Sverige	-4	-4	0					0,16	0,2			SEK	2015	Svensk	719674	Swedbank Robur Fonder AB	Sverige	
Swedbank Robur Access USA	-4	-4	4					0,16	0,2			SEK	2015	Svensk	150649	Swedbank Robur Fonder AB	Nordamerika och USA	
Axa Rosenberg Global Small Cap Alpha Fund B	-3	-3	-1	-11	55	90	13,7	0,68	1,65	13,5	1,1	USD	2015	Utländsk	317040	AXA Rosenberg Management Ireland Ltd	Global	
Atlant Sharp Europe	-10	-10						0,62	1,56			SEK	2015	Svensk	789503	Atlant Fonder AB	Utländska aktier och räntor	
Swedbank Robur Europafond MEGA	-6	-6	-2	-9	37	45	7,7	0,19	0,56	12,1	0,9	SEK	2000	Svensk	964171	Swedbank Robur Fonder AB	Europa	
FIM Frontier Placeringsfond	-3	-3	-5	-21				0,77	1,91			EUR	2014	Utländsk	413021	FIM Kapitalförvaltning Ab	Nya marknader	Fonden tar miljö och/eller etisk hänsyn
FIM Global Placeringsfond	-5	-5	-2	-11	42	19	3,6	0,73	1,8	12,4	1	EUR	2008	Utländsk	989491	FIM Kapitalförvaltning Ab	Global	Fonden tar miljö och/eller etisk hänsyn
FIM Russia Placeringsfond	7	7	9	-4	-32	-61	-17,1	0,89	2,27	29	-0,3	EUR	2002	Utländsk	396325	FIM Kapitalförvaltning Ab	Ryssland	Fonden tar miljö och/eller etisk hänsyn
FIM Sahara	-4	-4	-10	-20	57	81	12,6	0,88	2,23	15,9	1	EUR	2014	Utländsk	377192	FIM Kapitalförvaltning Ab	Nya marknader	Fonden tar miljö och/eller etisk hänsyn
FIM USA	-4	-4	2	-5	66	78	12,2	0,62	1,5	12	1,5	EUR	2002	Utländsk	360495	FIM Kapitalförvaltning Ab	Nordamerika och USA	Fonden tar miljö och/eller etisk hänsyn
FIM Nordic Placeringsfond	-8	-8	-1	-11	42	28	5,1	0,73	1,82	12,9	0,9	EUR	2005	Utländsk	390187	FIM Kapitalförvaltning Ab	Norden	Fonden tar miljö och/eller etisk hänsyn
FIM Brands	-4	-4	-2	-5	59	103	15,2	0,73	1,8	11,2	1,4	EUR	2002	Utländsk	432153	FIM Kapitalförvaltning Ab	Övriga branscher	Fonden tar miljö och/eller etisk hänsyn
FIM Emerging Markets Småbolag	-5	-5	-4	-15	12	-13	-2,8	0,87	2,21	15,3	0,3	EUR	2013	Utländsk	745828	FIM Kapitalförvaltning Ab	Nya marknader	Fonden tar miljö och/eller etisk hänsyn
FIM Fenno Placeringsfond	-3	-3	4	-6	71	35	6,2	0,66	1,6	14	1,3	EUR	2002	Utländsk	324665	FIM Kapitalförvaltning Ab	Övriga länder	Fonden tar miljö och/eller etisk hänsyn
Amundi Funds Equity Europe Conservative	-5	-5	-1	-8				0,78	3,08			EUR	2014	Utländsk	103309	Amundi Luxembourg S.A. 	Europa	
SEB Europafond Småbolag	-8	-8	0	5	94	108	15,8	0,42	1,78	13,1	1,7	SEK	2005	Svensk	556589	SEB Investment Management AB	Europa/Euroland småbolag	
SEB Japanfond	-9	-9	0	-9	44	65	10,5	0,37	1,5	15,3	0,9	SEK	2005	Svensk	377432	SEB Investment Management AB	Japan	
SEB Läkemedelsfond	-13	-13	-7	-17	68	141	19,2	0,37	1,5	14,9	1,2	SEK	2002	Svensk	229922	SEB Investment Management AB	Läkemedel	
SEB Nordamerikafond	-1	-1	1	-10	66	104	15,3	0,37	1,5	12,2	1,4	SEK	2002	Svensk	986604	SEB Investment Management AB	Nordamerika och USA	
SEB Nordenfond	-5	-5	1	-9	54	51	8,6	0,35	1,35	13,1	1,2	SEK	2005	Svensk	484923	SEB Investment Management AB	Norden	
SEB Teknologifond	-5	-5	4	-5	62	87	13,3	0,37	1,5	13,9	1,2	SEK	2002	Svensk	194092	SEB Investment Management AB	IT och kommunikation	
SEB Östeuropafond	11	11	5	-8	-14	-31	-7,1	0,43	1,86	18,5	-0,2	SEK	2005	Svensk	449090	SEB Investment Management AB	Östeuropa	
Seligson & Co Asien - Indexfond	-7	-7	1	-16	20	35	6,2	0,25	0,46	14,9	0,5	EUR	2005	Utländsk	997460	Seligson & Co Fondbolag Abp	Asien och Fjärran östern	Fonden tar miljö och/eller etisk hänsyn
Skandia Nordamerika Exponering	-4	-4	4	-7				0,21	0,41			SEK	2013	Svensk	256362	Skandia Fonder AB	Nordamerika och USA	Fonden tar miljö och/eller etisk hänsyn
Skandia Norden	-3	-3	2	-8	53			0,45	1,43	12,6	1,2	SEK	2012	Svensk	611657	Skandia Fonder AB	Norden	Fonden tar miljö och/eller etisk hänsyn
Skandia Småbolag Sverige	-2	-2	10	6	80	96	14,4	0,44	1,41	14,1	1,4	SEK	2002	Svensk	103606	Skandia Fonder AB	Sverige småbolag	Fonden tar miljö och/eller etisk hänsyn
Skandia Tillväxtmarknadsfond	-6	-6	-4	-20				0,53	1,79			SEK	2014	Svensk	802900	Skandia Fonder AB	Nya marknader	Fonden tar miljö och/eller etisk hänsyn
Skandia Time Global	0	0	16	4	105	140	19,1	0,45	1,44	15,9	1,6	SEK	2000	Svensk	439471	Skandia Fonder AB	IT och kommunikation	Fonden tar miljö och/eller etisk hänsyn
Skandia USA	-6	-6	2	-10	68	110	16	0,44	1,4	14	1,3	SEK	2000	Svensk	511139	Skandia Fonder AB	Nordamerika och USA	Fonden tar miljö och/eller etisk hänsyn
Skandia Världen	-6	-6	1	-11	31	42	7,3	0,45	1,45	12,5	0,8	SEK	2000	Svensk	475301	Skandia Fonder AB	Global	Fonden tar miljö och/eller etisk hänsyn
Pictet Greater China	-6	-6	-3	-18	25	23	4,2	0,8	2,73	17,1	0,5	USD	2003	Utländsk	882126	Pictet Funds (Europe) S.A.	Kina	
Pictet Japanese Equities Opportunities	-9	-9	0	-13	38	64	10,4	0,75	2,09	16,9	0,7	JPY	2000	Utländsk	910109	Pictet Funds (Europe) S.A.	Japan	
Pictet Premium Brands	-6	-6	-8	-18	22	43	7,5	0,8	2,7	13	0,6	EUR	2005	Utländsk	923383	Pictet Funds (Europe) S.A.	Global	
Pictet Security	-4	-4	1	-8	58	71	11,4	0,8	2,68	13,2	1,2	USD	2006	Utländsk	968891	Pictet Funds (Europe) S.A.	Övriga branscher	
